,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score,idf
41,34345039,726212327,774820294,1.0,2284.0,1024.0,2.0,2.0,0.0,0.0,1.0,1517.0,0.0,0.0,0.0,166.0,2284.0,308.0,2.0,2.0,1.0,9.0,20.0,Stub,14.21928740843382
42,262954,646675214,476994572,0.0,14120.0,7093.0,8.0,3.0,0.0,0.0,1.0,6682.0,0.0,0.0,19.0,1573.0,14080.0,7998.0,16.0,5.0,15.0,11.0,75.0,C,11.654338050972283
43,4231129,184182896,185900270,1.0,4166.0,2744.0,2.0,0.0,0.0,0.0,0.0,4141.0,0.0,0.0,16.0,598.0,4165.0,3732.0,0.0,2.0,0.0,6.0,57.0,Start,13.302996676559667
44,105925,184846722,184848348,1.0,7789.0,4935.0,5.0,0.0,4.0,0.0,0.0,7649.0,0.0,0.0,14.0,1116.0,7687.0,6499.0,1.0,9.0,0.0,10.0,77.0,Start,14.21928740843382
45,4613848,734975006,834057789,1.0,13303.0,8351.0,3.0,0.0,4.0,16.0,0.0,11789.0,0.0,0.0,14.0,1755.0,13293.0,9381.0,15.0,10.0,1.0,19.0,80.0,B,12.022062831097603
46,43831347,629053090,625675933,0.0,434.0,294.0,4.0,0.0,0.0,0.0,0.0,434.0,0.0,0.0,0.0,55.0,434.0,384.0,0.0,0.0,0.0,0.0,10.0,Stub,11.598248584321242
47,32256910,668755967,436982292,0.0,1131.0,664.0,1.0,0.0,0.0,0.0,1.0,1125.0,0.0,0.0,2.0,145.0,1131.0,656.0,0.0,3.0,0.0,4.0,15.0,Stub,11.616597722989438
48,30878159,483303779,414018871,0.0,477.0,319.0,1.0,0.0,0.0,0.0,0.0,475.0,0.0,0.0,1.0,62.0,477.0,293.0,0.0,0.0,0.0,1.0,4.0,Stub,15.605581769553712
49,308046,374879409,374835517,0.0,9831.0,6013.0,3.0,0.0,1.0,0.0,1.0,9435.0,0.0,0.0,18.0,1309.0,9831.0,7427.0,10.0,8.0,1.0,9.0,86.0,B,10.116644043397027
50,1077225,874881321,897818884,1.0,67763.0,37407.0,11.0,39.0,6.0,0.0,0.0,6614.0,0.0,1.0,67.0,8077.0,67679.0,42784.0,128.0,17.0,70.0,90.0,348.0,C,15.605581769553712
51,16740112,958944279,963298752,1.0,647.0,424.0,2.0,0.0,2.0,0.0,0.0,647.0,0.0,0.0,0.0,79.0,647.0,394.0,0.0,2.0,0.0,8.0,7.0,Stub,13.526140227873876
52,893708,81251811,50580990,0.0,12150.0,8173.0,2.0,0.0,0.0,0.0,0.0,12103.0,0.0,0.0,36.0,1939.0,12150.0,11459.0,13.0,9.0,0.0,1.0,16.0,B,10.74576936519204
53,2346196,675170153,767182578,1.0,12613.0,7248.0,4.0,6.0,2.0,1.0,1.0,12494.0,0.0,0.0,9.0,1420.0,12506.0,5532.0,14.0,9.0,6.0,86.0,97.0,C,11.400889150162747
54,21362455,270402776,285716197,1.0,3580.0,2447.0,1.0,0.0,0.0,0.0,0.0,3562.0,0.0,0.0,17.0,553.0,3580.0,3337.0,2.0,5.0,0.0,6.0,1.0,Start,15.605581769553712
55,2453712,181985256,182422696,1.0,4095.0,2728.0,4.0,2.0,0.0,0.0,0.0,3292.0,0.0,0.0,4.0,629.0,4083.0,3076.0,0.0,4.0,2.0,7.0,25.0,Start,13.813822300325658
56,18949896,623817157,624736838,1.0,26927.0,15791.0,7.0,7.0,2.0,0.0,0.0,6647.0,0.0,0.0,23.0,3391.0,26894.0,20434.0,17.0,14.0,43.0,24.0,171.0,C,14.912434588993769
57,201330,780501286,735955571,0.0,22818.0,15370.0,14.0,2.0,0.0,0.0,0.0,2233.0,0.0,0.0,73.0,3316.0,22743.0,20007.0,1.0,4.0,17.0,11.0,123.0,C,11.776940373064615
58,6221894,209111002,209143872,1.0,9362.0,5938.0,4.0,0.0,0.0,0.0,1.0,9348.0,0.0,0.0,18.0,1366.0,9352.0,8152.0,7.0,5.0,0.0,4.0,30.0,Start,11.083793192504672
59,205834,551888420,745203422,1.0,12860.0,7911.0,3.0,2.0,0.0,0.0,0.0,6632.0,0.0,0.0,34.0,1765.0,12853.0,10588.0,8.0,6.0,8.0,15.0,75.0,C,7.2858643827031075
60,1412248,292629071,292783135,1.0,4941.0,3051.0,4.0,0.0,0.0,0.0,0.0,4913.0,0.0,0.0,5.0,634.0,4923.0,3153.0,1.0,3.0,0.0,8.0,37.0,Start,12.34748523153223
61,14967,325612718,325873080,1.0,6879.0,3886.0,3.0,0.0,0.0,0.0,0.0,6819.0,0.0,0.0,6.0,818.0,6825.0,5468.0,2.0,4.0,0.0,4.0,164.0,Start,4.702142715173445
62,55887011,722462694,722485344,1.0,3016.0,1662.0,2.0,1.0,0.0,0.0,1.0,1027.0,0.0,0.0,2.0,346.0,3001.0,1570.0,3.0,2.0,1.0,11.0,21.0,Start,14.21928740843382
63,8691,717281148,455956812,0.0,17384.0,10531.0,2.0,7.0,4.0,0.0,0.0,588.0,0.0,0.0,21.0,2259.0,17351.0,13239.0,10.0,7.0,25.0,33.0,110.0,C,8.282411051610243
64,4542660,207582297,207617966,1.0,2669.0,1809.0,1.0,0.0,0.0,0.0,0.0,2661.0,0.0,0.0,7.0,395.0,2669.0,2389.0,0.0,2.0,1.0,5.0,20.0,Start,8.341551626654184
65,1668007,724854985,732468305,1.0,16113.0,9410.0,4.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,1930.0,16097.0,8366.0,20.0,4.0,18.0,21.0,222.0,B,13.408357192217494
66,14417,162145355,102264659,0.0,59067.0,37931.0,3.0,21.0,2.0,0.0,0.0,25905.0,0.0,1.0,124.0,8223.0,58961.0,50616.0,32.0,15.0,50.0,35.0,191.0,B,8.410394449375003
67,8691,455956812,717281148,1.0,14635.0,8778.0,1.0,1.0,0.0,0.0,0.0,8941.0,0.0,0.0,18.0,1896.0,14580.0,12288.0,10.0,10.0,12.0,11.0,153.0,C,8.282411051610243
68,2453712,182422696,181985256,0.0,4150.0,2761.0,4.0,2.0,0.0,0.0,0.0,3328.0,0.0,0.0,4.0,635.0,4138.0,3076.0,0.0,4.0,2.0,7.0,25.0,Start,13.813822300325658
69,14336,796948620,784749333,0.0,12948.0,7244.0,2.0,6.0,2.0,0.0,0.0,703.0,0.0,0.0,22.0,1610.0,12776.0,5954.0,8.0,4.0,19.0,23.0,151.0,C,12.427527939205769
70,49404,786265012,726174382,0.0,42551.0,28743.0,4.0,1.0,3.0,0.0,0.0,10872.0,0.0,0.0,96.0,6600.0,42497.0,37555.0,6.0,9.0,6.0,19.0,250.0,B,5.354258221746057
71,189909,384933162,384942962,1.0,11072.0,7132.0,1.0,0.0,0.0,0.0,0.0,11055.0,0.0,0.0,13.0,1653.0,11071.0,9664.0,5.0,3.0,0.0,5.0,90.0,B,12.470087553624564
72,31233315,797740717,797715465,0.0,27.0,20.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,3.0,27.0,22.0,0.0,0.0,0.0,0.0,1.0,Stub,12.56105933183029
73,894099,628722816,863701092,1.0,7681.0,4898.0,7.0,3.0,0.0,0.0,1.0,4964.0,0.0,0.0,10.0,1180.0,7678.0,5175.0,5.0,8.0,3.0,11.0,33.0,C,13.302996676559667
74,335739,99407158,108220774,1.0,13872.0,8493.0,2.0,0.0,2.0,0.0,0.0,13868.0,0.0,0.0,26.0,2017.0,13872.0,11739.0,11.0,5.0,1.0,10.0,155.0,B,7.943584210651819
75,30221421,170657491,170742684,1.0,2439.0,1586.0,3.0,0.0,1.0,0.0,0.0,2429.0,0.0,0.0,7.0,367.0,2435.0,2044.0,0.0,2.0,0.0,4.0,33.0,Start,12.273377259378508
76,9527217,208956663,209677839,1.0,8563.0,4753.0,2.0,0.0,0.0,0.0,0.0,1220.0,0.0,0.0,13.0,1033.0,8559.0,6765.0,22.0,4.0,7.0,3.0,38.0,Start,14.506969480885603
77,14620737,571607483,491955661,0.0,4961.0,2538.0,5.0,0.0,0.0,0.0,0.0,2068.0,0.0,0.0,3.0,531.0,4915.0,3432.0,14.0,4.0,7.0,1.0,22.0,Start,14.21928740843382
78,31938,161262397,114915598,0.0,9653.0,5998.0,1.0,6.0,2.0,0.0,0.0,5154.0,0.0,0.0,25.0,1379.0,9617.0,7178.0,6.0,7.0,7.0,12.0,91.0,B,7.848530627521699
79,1636488,274879192,274894839,1.0,1218.0,536.0,2.0,2.0,0.0,0.0,0.0,1218.0,0.0,0.0,0.0,111.0,1218.0,373.0,5.0,2.0,2.0,8.0,9.0,Stub,15.605581769553712
80,42886791,610502604,610496365,0.0,3709.0,1963.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,441.0,3697.0,2102.0,9.0,4.0,8.0,9.0,4.0,Start,14.912434588993769
81,990772,168805752,169156042,1.0,2390.0,1482.0,5.0,1.0,0.0,0.0,0.0,1254.0,0.0,0.0,8.0,341.0,2387.0,1823.0,2.0,2.0,1.0,4.0,28.0,Start,13.996143857119613
82,459417,317993641,317448074,0.0,30836.0,18883.0,3.0,16.0,2.0,0.0,0.0,11887.0,0.0,0.0,36.0,4314.0,30651.0,23930.0,22.0,11.0,30.0,27.0,129.0,C,14.21928740843382
83,2043022,274258339,272417802,0.0,2876.0,1962.0,1.0,0.0,0.0,0.0,0.0,2862.0,0.0,0.0,6.0,478.0,2876.0,2671.0,0.0,4.0,0.0,1.0,16.0,Start,13.996143857119613
84,33356145,642274885,589869257,0.0,3129.0,1711.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,337.0,3123.0,1619.0,5.0,1.0,5.0,4.0,18.0,Start,15.605581769553712
85,1908462,825621458,815736428,0.0,24380.0,14421.0,4.0,15.0,0.0,0.0,1.0,1846.0,1.0,0.0,24.0,3099.0,24336.0,15681.0,24.0,6.0,44.0,34.0,156.0,GA,10.555725762304176
86,19847474,246339391,246380477,1.0,875.0,617.0,0.0,0.0,0.0,0.0,0.0,873.0,0.0,0.0,4.0,127.0,875.0,775.0,0.0,1.0,1.0,3.0,0.0,Stub,13.526140227873876
87,2064051,228303329,228206830,0.0,4073.0,2247.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,489.0,4073.0,2550.0,13.0,4.0,2.0,5.0,37.0,Start,13.6596716204984
88,3883038,902452600,709585909,0.0,5424.0,2705.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,398.0,5422.0,669.0,11.0,5.0,9.0,20.0,24.0,Stub,12.34748523153223
89,1946946,621070058,623347021,1.0,11553.0,6829.0,4.0,6.0,2.0,0.0,0.0,6321.0,0.0,0.0,21.0,1511.0,11541.0,9108.0,11.0,4.0,11.0,19.0,34.0,C,13.996143857119613
90,165451,675699297,589793817,0.0,35614.0,21738.0,10.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,60.0,4718.0,35505.0,22952.0,20.0,8.0,57.0,36.0,186.0,B,8.744918098105426
91,7363727,602714921,601603759,0.0,10012.0,4870.0,4.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1091.0,10002.0,2798.0,31.0,6.0,27.0,47.0,45.0,Start,13.040632412092176
92,3384967,224249843,758435215,1.0,6270.0,4148.0,1.0,2.0,0.0,0.0,0.0,3799.0,0.0,0.0,12.0,883.0,6259.0,5147.0,0.0,5.0,2.0,5.0,55.0,Start,11.734380758645822
93,893708,50580990,81251811,1.0,36317.0,24847.0,2.0,0.0,0.0,0.0,0.0,36218.0,0.0,0.0,137.0,6263.0,36317.0,35085.0,12.0,14.0,0.0,3.0,11.0,Start,10.74576936519204
94,3883038,709585909,902452600,1.0,4831.0,2411.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,347.0,4801.0,458.0,7.0,4.0,7.0,16.0,22.0,Stub,12.34748523153223
95,7354767,577687552,842644621,1.0,14776.0,8820.0,1.0,13.0,10.0,0.0,0.0,2760.0,0.0,0.0,31.0,1854.0,14770.0,10047.0,22.0,8.0,17.0,32.0,55.0,C,15.605581769553712
96,802377,199985552,200137964,1.0,10259.0,6508.0,2.0,0.0,1.0,0.0,0.0,3949.0,0.0,0.0,17.0,1406.0,10254.0,8562.0,5.0,6.0,6.0,6.0,117.0,C,10.080128830421929
97,3664003,363177541,360689103,0.0,2988.0,2062.0,1.0,0.0,0.0,0.0,0.0,2979.0,0.0,0.0,4.0,472.0,2987.0,2664.0,0.0,2.0,0.0,4.0,14.0,Start,13.408357192217494
98,22554980,843058589,842523080,0.0,29781.0,14946.0,12.0,60.0,1.0,0.0,1.0,0.0,0.0,0.0,39.0,3141.0,29769.0,10357.0,74.0,7.0,70.0,81.0,119.0,B,11.967995609827328
99,172233,187090946,174190109,0.0,7842.0,5170.0,2.0,0.0,0.0,0.0,0.0,7811.0,0.0,0.0,18.0,1185.0,7833.0,6665.0,1.0,5.0,0.0,4.0,107.0,B,11.580230078818564
100,147101,717738810,623131161,0.0,21374.0,13662.0,2.0,8.0,2.0,0.0,0.0,7912.0,0.0,0.0,58.0,3056.0,21340.0,17072.0,15.0,13.0,14.0,27.0,102.0,C,12.109074208087232
101,3143864,759300305,759299133,0.0,33727.0,16963.0,3.0,77.0,0.0,0.0,1.0,0.0,0.0,1.0,34.0,3702.0,33725.0,16762.0,89.0,7.0,120.0,87.0,109.0,B,12.514539316195396
102,704544,446832236,487318585,1.0,4210.0,2574.0,2.0,0.0,0.0,0.0,0.0,4208.0,0.0,0.0,8.0,578.0,4210.0,3249.0,1.0,1.0,0.0,3.0,60.0,Start,13.302996676559667
103,6349141,850952469,659103041,0.0,4528.0,2647.0,2.0,9.0,0.0,0.0,0.0,108.0,0.0,0.0,1.0,572.0,4512.0,1764.0,8.0,4.0,9.0,11.0,29.0,Start,7.946410401887655
104,854425,232535661,233228326,1.0,7479.0,4290.0,2.0,0.0,0.0,0.0,0.0,4338.0,0.0,0.0,12.0,951.0,7474.0,5936.0,10.0,6.0,9.0,3.0,39.0,C,11.942020123424069
105,643807,276984044,332246453,1.0,5164.0,3480.0,3.0,0.0,0.0,0.0,0.0,5146.0,0.0,0.0,5.0,820.0,5164.0,4659.0,0.0,2.0,0.0,2.0,55.0,Start,10.642737139293803
106,14417,102264659,162145355,1.0,52393.0,33539.0,3.0,6.0,4.0,0.0,0.0,3226.0,0.0,0.0,130.0,7201.0,52282.0,45779.0,32.0,11.0,48.0,18.0,139.0,B,8.410394449375003
107,7821365,91485422,86277924,0.0,4752.0,2694.0,4.0,0.0,0.0,0.0,1.0,3194.0,0.0,0.0,3.0,525.0,4741.0,3067.0,6.0,4.0,4.0,4.0,39.0,Start,14.912434588993769
108,282635,524835067,505551557,0.0,26567.0,16093.0,2.0,4.0,2.0,0.0,0.0,2028.0,0.0,0.0,59.0,3413.0,26461.0,23485.0,14.0,13.0,11.0,9.0,136.0,B,13.040632412092176
109,594486,104276603,92639036,0.0,10124.0,7002.0,1.0,0.0,0.0,0.0,0.0,10069.0,0.0,0.0,21.0,1717.0,10104.0,9873.0,1.0,8.0,0.0,2.0,19.0,B,10.154543315988011
110,31395,79896120,92475542,1.0,28527.0,18881.0,6.0,0.0,0.0,0.0,0.0,24664.0,0.0,0.0,49.0,4066.0,28479.0,26052.0,14.0,15.0,5.0,15.0,183.0,B,8.776869697912028
111,1071511,204348017,204399711,1.0,2956.0,1693.0,1.0,2.0,1.0,0.0,0.0,2948.0,0.0,0.0,4.0,341.0,2956.0,1977.0,7.0,4.0,2.0,9.0,23.0,Start,14.912434588993769
112,1289723,123591270,123520088,0.0,5402.0,3562.0,1.0,0.0,0.0,0.0,0.0,5396.0,0.0,0.0,15.0,759.0,5402.0,4889.0,3.0,4.0,0.0,1.0,41.0,Start,13.813822300325658
113,87893,608490198,767837420,1.0,12742.0,7584.0,3.0,10.0,1.0,0.0,0.0,6096.0,0.0,0.0,26.0,1707.0,12712.0,8562.0,16.0,7.0,9.0,19.0,81.0,C,8.960490800048069
114,30862363,940894023,641391794,0.0,32301.0,19702.0,10.0,13.0,2.0,0.0,1.0,16725.0,0.0,0.0,64.0,4597.0,32205.0,26392.0,31.0,12.0,24.0,28.0,116.0,C,11.942020123424069
115,404334,803828919,804926555,1.0,18155.0,10652.0,12.0,16.0,0.0,0.0,2.0,1412.0,0.0,0.0,21.0,2206.0,18128.0,9911.0,29.0,9.0,26.0,36.0,79.0,C,10.07615268204229
116,165326,211536670,211486600,0.0,28418.0,18440.0,5.0,13.0,1.0,0.0,0.0,9230.0,0.0,0.0,73.0,4137.0,28366.0,23472.0,13.0,11.0,17.0,21.0,47.0,B,10.642737139293803
117,5807256,385543633,385534260,0.0,2557.0,1504.0,1.0,0.0,3.0,0.0,1.0,968.0,0.0,0.0,3.0,316.0,2529.0,1372.0,1.0,4.0,2.0,14.0,21.0,Start,11.967995609827328
118,1090861,641388887,702752555,1.0,5857.0,3782.0,3.0,0.0,0.0,3.0,0.0,4315.0,0.0,0.0,2.0,805.0,5848.0,4580.0,3.0,5.0,2.0,7.0,33.0,C,13.996143857119613
119,255791,770938271,734530050,0.0,9670.0,5606.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,1200.0,9656.0,5990.0,9.0,5.0,21.0,20.0,44.0,C,11.994663856909488
120,252622,301284318,301386158,1.0,22931.0,14251.0,7.0,6.0,1.0,0.0,0.0,1351.0,0.0,0.0,24.0,2921.0,22794.0,18076.0,11.0,8.0,19.0,19.0,248.0,C,10.88708289825862
121,7821365,86277924,91485422,1.0,2419.0,1669.0,0.0,0.0,0.0,0.0,0.0,2410.0,0.0,0.0,3.0,336.0,2414.0,2263.0,0.0,3.0,1.0,4.0,0.0,Start,14.912434588993769
122,21615,56182616,56557020,1.0,31990.0,19953.0,6.0,0.0,0.0,0.0,0.0,25231.0,0.0,0.0,83.0,4344.0,31790.0,26589.0,24.0,9.0,39.0,3.0,158.0,FA,9.86578885737448
123,42202715,775434290,774779962,0.0,60627.0,34810.0,1.0,89.0,0.0,0.0,1.0,3843.0,0.0,0.0,44.0,7428.0,60569.0,30827.0,91.0,7.0,115.0,123.0,266.0,FA,12.715210011657549
124,92912,466864266,466864392,1.0,11414.0,7196.0,3.0,10.0,2.0,0.0,0.0,11340.0,8.0,0.0,18.0,1546.0,11344.0,6474.0,3.0,9.0,6.0,34.0,82.0,C,9.033299226859706
